Date,Close,High,Low,Open,Volume,trend
2025-10-23,1040559.75,1054447.106053384,991954.0038131553,999889.6358436606,284405,28
2025-10-24,1004849.4375,1034608.0585513327,993937.9431145113,1034608.0585513327,189996,28
2025-10-27,1030640.25,1033616.1121270452,996913.8125601539,1001873.582771896,222929,25
2025-10-28,987986.1875,1030640.2096511044,984018.3714859438,1028656.3016440764,183625,25
2025-10-29,985010.375,1009809.2263343404,972114.972306143,1008817.2722809667,126098,25
2025-10-30,986002.3125,1005841.3932344064,986002.3125,991954.0367203219,150339,25
2025-10-31,971123.0,998897.7129724208,968147.137895812,968147.137895812,123048,25
2025-11-03,1033616.125,1047503.481765835,979058.6519913628,979058.6519913628,330523,28
2025-11-04,1001873.5625,1029648.2751237624,996913.7923886139,1029648.2751237624,180841,28
2025-11-05,942356.3125,1000881.5992763159,915573.5541447368,999889.6452631579,302267,28
2025-11-06,962195.4375,989970.1511597938,950291.9887886598,970131.0699742269,142073,28
2025-11-07,915573.5625,954259.7693661972,894742.5280335861,942356.3210996749,255527,28
2025-11-10,957235.625,976082.7512953369,919541.3724093265,927477.0045336788,150467,24
2025-11-11,940372.4375,972114.967035865,936404.6213080168,967155.196795886,118730,24
2025-11-12,952275.875,971123.0016927083,943348.288671875,951283.9209635417,167363,24
2025-11-13,948308.0625,963187.3731040795,945332.2003791841,956243.6948221758,118138,24
2025-11-14,947316.125,981042.5629581151,930452.9060209424,943348.3087696335,211727,24
2025-11-17,971123.0,972114.9540347293,942356.3329928499,957235.6435137896,151162,28
2025-11-18,913589.6875,994929.9202633008,913589.6875,977074.7472176981,209914,28
2025-11-19,897718.375,941364.351243094,879863.2029005525,931444.8111878453,309855,28
2025-11-20,908629.875,936404.5873362446,899702.2888919214,902678.1509279476,183622,28
2025-11-21,862008.0625,888790.8216340622,854072.4301639816,881847.143340046,256581,28
2025-11-24,848120.6875,878871.2621345029,806458.6186403509,874903.4460526315,301258,31
2025-11-25,852088.5,869943.6722933643,843160.9138533178,861016.0861466822,121366,31
2025-11-26,863991.9375,879863.2015642938,856056.305467853,866967.7995120551,125169,31
2025-11-27,856056.3125,894742.5189745075,855064.3584878331,893750.5649623406,198637,31
2025-11-28,845144.8125,859032.1685739437,829273.5484154929,859032.1685739437,195233,31
2025-12-01,806458.625,836217.2458487084,798522.9927736777,835225.2918204182,318566,24
2025-12-02,817370.125,820345.9871055826,784635.6418385922,789595.4120145631,300231,24
2025-12-03,859032.1875,871927.5898527714,827289.6586316398,829273.5666859123,315675,24
2025-12-04,848120.6875,875895.4000730994,838201.1472953216,866967.8138888888,110369,24
2025-12-05,887798.875,887798.875,845144.8508379888,848120.7129888268,192198,24
2025-12-08,929460.9375,935412.6617529349,891766.683898079,899702.3162353254,231159,22
2025-12-09,952275.875,955251.7371093751,930452.8861979167,933428.7483072917,231353,22
2025-12-10,915573.5625,947316.0912107258,911605.7464111592,937396.550988624,155708,22
2025-12-11,896726.4375,927477.0122372787,892758.6214048673,924501.1501659292,242560,22
2025-12-12,953267.8125,954259.7665192508,909621.8356529656,917557.4678069719,268675,22
2025-12-15,900694.25,935412.6406938325,845144.8248898678,935412.6406938325,144644,24
2025-12-16,867959.75,896726.416,857048.256,891766.646,207445,24
2025-12-17,863000.0,885814.9425287356,853080.459770115,867959.7701149426,94698,24
2025-12-18,844152.875,877879.3118390129,831257.4726792009,863000.0014688602,115140,24
2025-12-19,876887.375,899702.3180147059,858040.2481617647,858040.2481617647,208385,24
2025-12-22,878871.25,898710.3301354402,875895.387979684,892758.6060948082,107353,22
2025-12-23,892758.625,898710.3491666666,879863.2226388889,883831.03875,88326,22
2025-12-24,870935.625,895734.4753701595,862999.9928815489,892758.6133257403,103248,22
2025-12-26,863000.0,885814.9425287356,857048.275862069,871927.5862068966,102783,22
2025-12-29,949000.0,956000.0,891000.0,901000.0,339928,21
2025-12-30,941000.0,964000.0,918000.0,963000.0,187387,21
2026-01-02,946000.0,981000.0,938000.0,953000.0,144603,21
2026-01-05,1012000.0,1015000.0,968000.0,969000.0,327727,29
2026-01-06,1022000.0,1030000.0,981000.0,997000.0,279979,29
2026-01-07,1010000.0,1049000.0,988000.0,1033000.0,269662,29
2026-01-08,1090000.0,1114000.0,1025000.0,1051000.0,508382,29
2026-01-09,1214000.0,1219000.0,1099000.0,1101000.0,575132,29
2026-01-12,1212000.0,1257000.0,1186000.0,1256000.0,282589,30
2026-01-13,1282000.0,1296000.0,1212000.0,1229000.0,322326,30
2026-01-14,1269000.0,1281000.0,1249000.0,1279000.0,182382,30
2026-01-15,1294000.0,1329000.0,1269000.0,1312000.0,220568,30
2026-01-16,1299000.0,1319000.0,1279000.0,1308000.0,291401,30
2026-01-19,1330000.0,1339000.0,1292000.0,1316000.0,194888,30
2026-01-20,1309000.0,1398000.0,1294000.0,1345000.0,222510,30
2026-01-21,1315000.0,1328000.0,1281000.0,1312000.0,264111,30
2026-01-22,1289000.0,1313000.0,1270000.0,1292000.0,205157,30
2026-01-23,1255000.0,1289000.0,1234000.0,1281000.0,260134,30
2026-01-26,1262000.0,1292000.0,1258000.0,1268000.0,126918,32
2026-01-27,1230000.0,1295000.0,1230000.0,1295000.0,154527,32
2026-01-28,1288000.0,1299000.0,1251000.0,1280000.0,180905,32
2026-01-29,1300000.0,1329000.0,1268000.0,1301000.0,227097,32
2026-01-30,1300000.0,1348000.0,1271000.0,1340000.0,247057,32
2026-02-02,1239000.0,1348000.0,1207000.0,1320000.0,312729,30
2026-02-03,1299000.0,1315000.0,1268000.0,1280000.0,203785,30
2026-02-04,1324000.0,1333000.0,1287000.0,1315000.0,143922,30
2026-02-05,1227000.0,1300000.0,1208000.0,1290000.0,333625,30
2026-02-06,1181000.0,1192000.0,1110000.0,1159000.0,295504,30
2026-02-09,1193000.0,1260000.0,1173000.0,1246000.0,275049,31
2026-02-10,1146000.0,1249000.0,1112000.0,1220000.0,504416,31
2026-02-11,1130000.0,1163000.0,1125000.0,1153000.0,248096,31
2026-02-12,1131000.0,1140000.0,1120000.0,1139000.0,210941,31
2026-02-13,1105000.0,1128000.0,1097000.0,1119000.0,236946,31
2026-02-19,1149000.0,1199000.0,1131000.0,1199000.0,190403,24
2026-02-20,1242000.0,1258000.0,1192000.0,1224000.0,443593,24
2026-02-23,1236000.0,1251000.0,1215000.0,1241000.0,196612,36
2026-02-24,1241000.0,1246000.0,1201000.0,1243000.0,172787,36
2026-02-25,1212000.0,1241000.0,1205000.0,1240000.0,168169,36
2026-02-26,1194000.0,1207000.0,1182000.0,1207000.0,184947,36
2026-02-27,1195000.0,1241000.0,1195000.0,1227000.0,325910,36
2026-03-03,1432000.0,1492000.0,1304000.0,1330000.0,1295365,84
2026-03-04,1323000.0,1655000.0,1243000.0,1526000.0,1191514,84
2026-03-05,1381000.0,1486000.0,1322000.0,1361000.0,785586,84
2026-03-06,1481000.0,1540000.0,1368000.0,1414000.0,836707,84
2026-03-09,1434000.0,1550000.0,1361000.0,1516000.0,564231,60
2026-03-10,1455000.0,1484000.0,1353000.0,1365000.0,452836,60
2026-03-11,1410000.0,1496000.0,1390000.0,1459000.0,285240,60
2026-03-12,1465000.0,1474000.0,1424000.0,1430000.0,261688,60
2026-03-13,1488000.0,1489000.0,1409000.0,1462000.0,324291,60
2026-03-16,1476000.0,1522000.0,1457000.0,1478000.0,180940,83
2026-03-17,1396000.0,1470000.0,1388000.0,1470000.0,210274,83
2026-03-18,1390000.0,1415000.0,1362000.0,1415000.0,161859,83
2026-03-19,1375000.0,1417000.0,1361000.0,1416000.0,111115,83
2026-03-20,1320000.0,1360000.0,1306000.0,1347000.0,270214,83
2026-03-23,1278000.0,1314000.0,1232000.0,1300000.0,232870,100
2026-03-24,1335000.0,1348000.0,1291000.0,1310000.0,154321,100
2026-03-25,1400000.0,1400000.0,1332000.0,1362000.0,212913,100
2026-03-26,1369000.0,1425000.0,1351000.0,1425000.0,158124,100
2026-03-27,1369000.0,1349000.0,1287000.0,1349000.0,205178,100
2026-03-30,1308000.0,1327000.0,1256000.0,1276000.0,160318,97
2026-03-31,1249000.0,1289000.0,1217000.0,1263000.0,277570,97
2026-04-01,1331000.0,1364000.0,1283000.0,1323000.0,243803,97
2026-04-02,1417000.0,1478000.0,1383000.0,1415000.0,437390,97
2026-04-03,1449000.0,1480000.0,1399000.0,1418000.0,193653,97
2026-04-06,1450000.0,1474000.0,1410000.0,1449000.0,128832,77
2026-04-07,1537000.0,1545000.0,1426000.0,1426000.0,273390,77
