Date,trend_base,trend_stock,trend_forecast,trend_earnings,trend_business_plan,ticker,company_name,foreign_ratio
2025-12-08,15.85542168674699,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-12-09,13.49397590361446,12.759124087591243,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-12-10,13.156626506024097,14.1021897810219,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-12-11,9.445783132530122,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-12-12,10.120481927710845,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-12-13,9.445783132530122,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-12-14,11.46987951807229,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-12-15,16.192771084337352,14.437956204379562,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-12-16,10.457831325301205,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-12-17,12.819277108433734,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-12-18,10.457831325301205,14.437956204379562,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-12-19,13.49397590361446,22.496350364963504,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-12-20,6.74698795180723,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-12-21,7.421686746987953,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-12-22,12.819277108433734,12.423357664233578,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-12-23,16.192771084337352,16.45255474452555,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-12-24,15.51807228915663,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-12-25,9.10843373493976,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-12-26,12.481927710843376,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-12-27,8.771084337349398,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-12-28,0.0,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-12-29,21.590361445783135,14.773722627737227,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-12-30,13.831325301204823,17.124087591240876,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2025-12-31,10.120481927710845,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2026-01-01,5.734939759036145,0.0,0.0,0.0,100.0,012450.KS,한화에어로스페이스,0.32
2026-01-02,8.771084337349398,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2026-01-03,6.74698795180723,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2026-01-04,7.421686746987953,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
2026-01-05,12.481927710843376,0.0,0.0,0.0,0.0,012450.KS,한화에어로스페이스,0.32
